,state,fatalities,injuries,property_damage,crop_damage,total_damage
0,AK (Alaska),7,8,25.0,0.0,25.0
1,AL (Alabama),13,17,14.79,0.0,14.79
2,AR (Arkansas),10,337,18.25,27.26,45.51
3,AZ (Arizona),8,58,10.74,0.05,10.79
4,CA (California),12,40,108.51,0.2,108.71
5,CO (Colorado),3,21,8.21,1.82,10.03
6,CT (Connecticut),2,3,1.5,0.0,1.5
7,DE (Delaware),0,4,0.55,0.0,0.55
8,FL (Florida),28,81,26.0,1.0,27.0
9,GA (Georgia),5,21,33.51,0.01,33.53
10,HI (Hawaii),4,5,0.09,0.03,0.12
11,IA (Iowa),4,7,94.88,10.83,105.71
12,ID (Idaho),7,4,8.73,0.0,8.74
13,IL (Illinois),32,48,72.35,1.27,73.61
14,IN (Indiana),8,19,4.2,1.15,5.35
15,KS (Kansas),3,6,27.86,7.0,34.86
16,KY (Kentucky),22,31,17.23,0.1,17.33
17,LA (Louisiana),4,16,20.97,1.72,22.69
18,MA (Massachusetts),0,1,5.5,0.0,5.5
19,MD (Maryland),4,9,1.69,0.0,1.69
20,ME (Maine),0,2,0.99,0.05,1.04
21,MI (Michigan),0,9,79.92,0.0,79.92
22,MN (Minnesota),1,6,6.51,0.61,7.12
23,MO (Missouri),26,99,79.53,7.51,87.04
24,MS (Mississippi),13,67,20.23,8.84,29.07
25,MT (Montana),1,2,4.42,0.0,4.42
26,NC (North Carolina),5,25,25.62,0.01,25.63
27,ND (North Dakota),0,0,7.32,2.98,10.29
28,NE (Nebraska),2,0,235.08,72.58,307.66
29,NH (New Hampshire),2,34,0.37,0.0,0.37
30,NJ (New Jersey),6,44,65.6,0.0,65.6
31,NM (New Mexico),9,12,410.92,0.01,410.93
32,NV (Nevada),25,24,4.65,0.0,4.65
33,NY (New York),5,1,32.5,0.01,32.51
34,OH (Ohio),6,9,37.62,0.78,38.4
35,OK (Oklahoma),18,171,122.72,0.0,122.72
36,OR (Oregon),6,8,23.72,0.0,23.72
37,PA (Pennsylvania),15,15,20.54,0.0,20.54
38,RI (Rhode Island),0,0,0.51,0.0,0.51
39,SC (South Carolina),10,11,152.7,24.84,177.53
40,SD (South Dakota),3,14,7.87,0.0,7.87
41,TN (Tennessee),19,8,78.69,2.11,80.8
42,TX (Texas),86,725,2139.03,455.95,2594.98
43,UT (Utah),24,31,2.77,0.0,2.77
44,VA (Virginia),2,3,19.02,0.51,19.53
45,VT (Vermont),0,0,3.55,0.0,3.55
46,WA (Washington),8,7,28.94,0.02,28.96
47,WI (Wisconsin),4,8,8.73,0.01,8.74
48,WV (West Virginia),4,2,20.73,0.0,20.73
49,WY (Wyoming),2,5,10.35,0.25,10.6
