"2019 Summary of Hazardous Weather Fatalities, Injuries, and Damage Costs by State",,,,,
State,Fatalities,Injuries,Property,Crop,Total
,,,Damage,Damage,Damage
,,,(million $),(million $),(million $)
AK (Alaska),0,0,8.55,0,8.55
AL (Alabama),31,109,0.98,0,0.98
AM (Atlantic South),2,0,0,0,0
AN (Atlantic North),1,0,0.11,0,0.11
AR (Arkansas),6,22,24.94,4.18,29.12
AS (American Samoa),4,0,0.06,0.02,0.07
AZ (Arizona),149,17,15.07,0,15.07
CA (California),33,84,144.22,20.84,165.05
CO (Colorado),17,7,1.42,0.39,1.81
CT (Connecticut),3,2,0.8,0,0.8
DC (District of Columbia),0,0,0.5,0,0.5
DE (Delaware),0,4,0,0,0
FL (Florida),33,37,27.58,0,27.58
GA (Georgia),3,16,20.95,0.01,20.95
GM (Gulf of Mexico),0,0,0.01,0,0.01
HI (Hawaii),0,2,0.25,0.05,0.3
IA (Iowa),5,20,86.04,131.47,217.51
ID (Idaho),1,5,8.03,0.05,8.08
IL (Illinois),11,15,47.05,10.61,57.66
IN (Indiana),2,8,8.94,0.37,9.31
KS (Kansas),1,17,37.25,2.69,39.94
KY (Kentucky),13,4,13.37,1.1,14.47
LA (Louisiana),8,35,186.73,0.7,187.43
LC (Lake St.Clair),0,20,0,0,0
LE (Lake Erie),0,0,0.01,0,0.01
LH (Lake Huron),0,0,0,0,0
LM (Lake Michigan),0,0,0.67,0,0.67
LO (Lake Ontario),0,0,0,0,0
LS (Lake Superior),1,0,0,0,0
MA (Massachusetts),0,1,10.6,0,10.6
MD (Maryland),4,1,2.27,0,2.27
ME (Maine),1,0,0.42,0,0.42
MI (Michigan),3,5,203.16,0.19,203.35
MN (Minnesota),3,0,24.13,162.19,186.32
MO (Missouri),14,107,222.48,14.32,236.8
MS (Mississippi),8,44,68.6,2.92,71.51
MT (Montana),2,10,3.96,0,3.96
NC (North Carolina),16,10,149.25,4.77,154.02
ND (North Dakota),3,3,12.49,72.15,84.64
Report generated: 9/21/2021 8:26:24 AM,,,,,5 / 6
NE (Nebraska),5,7,640.54,27.66,668.2
NH (New Hampshire),0,0,2.98,0,2.98
NJ (New Jersey),0,2,0.93,0,0.93
NM (New Mexico),2,12,16.63,0,16.63
NV (Nevada),25,5,0.49,0,0.49
NY (New York),5,14,77.67,0,77.67
OH (Ohio),11,220,691.65,0.15,691.8
OK (Oklahoma),12,88,14.83,0.01,14.85
OR (Oregon),4,0,49.68,0.06,49.74
PA (Pennsylvania),6,67,31.53,0.18,31.7
PH (Hawaii Waters),0,0,0,0,0
PR (Puerto Rico),0,1,0.15,0,0.15
PZ (East Pacific),0,0,0,0,0
RI (Rhode Island),0,0,0.14,0,0.14
SC (South Carolina),7,23,1.94,0,1.95
SD (South Dakota),6,14,124.37,926.65,1051.02
TN (Tennessee),7,6,122.67,0,122.67
TX (Texas),39,80,3092.76,7.77,3100.53
UT (Utah),3,0,0.29,0,0.29
VA (Virginia),6,18,7.15,9.71,16.86
VI (Virgin Islands),0,0,0,0,0
VT (Vermont),2,0,9.24,0,9.24
WA (Washington),1,17,4.96,0,4.96
WI (Wisconsin),10,56,20.71,0.99,21.7
WV (West Virginia),2,3,8.28,3,11.28
WY (Wyoming),3,1,1.33,0,1.33
Total,534,1239,6251.83,1405.19,7657.01
Report generated: 9/21/2021 8:26:24 AM,,,,,6 / 6
